NaCl,,Be Pd,,,Cd Ga2 Se4,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,2θ - °,Y,Intensity - cps
16.95,6733.3,,,,,,
16.96,7173.3,,,,,,
16.97,6973.3,,,,,,
16.98,7066.7,,,,,,
16.99,6960,,,,,,
17,7133.3,,,,,,
17.01,7146.7,,,,,,
17.02,6933.3,,,,,,
17.03,6880,,,,,,
17.04,6946.7,,,,,,
17.05,6733.3,,,,,,
17.06,6973.3,,,,,,
17.07,7053.3,,,,,,
17.08,6800,,,,,,
17.09,6773.3,,,,,,
17.1,7253.3,,,,,,
17.11,7000,,,,,,
17.12,7200,,,,,,
17.13,7080,,,,,,
17.14,6986.7,,,,,,
17.15,7000,,,,,,
17.16,6840,,,,,,
17.17,7013.3,,,,,,
17.18,7133.3,,,,,,
17.19,6893.3,,,,,,
17.2,6906.7,,,,,,
17.21,6933.3,,,,,,
17.22,7013.3,,,,,,
17.23,7186.7,,,,,,
17.24,6906.7,,,,,,
17.25,6800,,,,,,
17.26,6933.3,,,,,,
17.27,6640,,,,,,
17.28,7000,,,,,,
17.29,6866.7,,,,,,
17.3,7320,,,,,,
17.31,6573.3,,,,,,
17.32,6573.3,,,,,,
17.33,6746.7,,,,,,
17.34,7013.3,,,,,,
17.35,7066.7,,,,,,
17.36,6973.3,,,,,,
17.37,7026.7,,,,,,
17.38,6906.7,,,,,,
17.39,6786.7,,,,,,
17.4,6653.3,,,,,,
17.41,6786.7,,,,,,
17.42,7226.7,,,,,,
17.43,7133.3,,,,,,
17.44,6946.7,,,,,,
17.45,6813.3,,,,,,
17.46,6920,,,,,,
17.47,6720,,,,,,
17.48,7040,,,,,,
17.49,7133.3,,,,,,
17.5,7253.3,,,,,,
17.51,7053.3,,,,,,
17.52,7200,,,,,,
17.53,6786.7,,,,,,
17.54,6760,,,,,,
17.55,7306.7,,,,,,
17.56,7240,,,,,,
17.57,7173.3,,,,,,
17.58,6920,,,,,,
17.59,6693.3,,,,,,
17.6,6680,,,,,,
17.61,6800,,,,,,
17.62,6906.7,,,,,,
17.63,6773.3,,,,,,
17.64,6826.7,,,,,,
17.65,6826.7,,,,,,
17.66,6893.3,,,,,,
17.67,6906.7,,,,,,
17.68,7066.7,,,,,,
17.69,7120,,,,,,
17.7,7066.7,,,,,,
17.71,7013.3,,,,,,
17.72,7000,,,,,,
17.73,6480,,,,,,
17.74,6493.3,,,,,,
17.75,6826.7,,,,,,
17.76,7146.7,,,,,,
17.77,6680,,,,,,
17.78,7026.7,,,,,,
17.79,6720,,,,,,
17.8,7026.7,,,,,,
17.81,7053.3,,,,,,
17.82,6946.7,,,,,,
17.83,6973.3,,,,,,
17.84,6960,,,,,,
17.85,6866.7,,,,,,
17.86,6666.7,,,,,,
17.87,6600,,,,,,
17.88,6666.7,,,,,,
17.89,6973.3,,,,,,
17.9,7146.7,,,,,,
17.91,6893.3,,,,,,
17.92,6906.7,,,,,,
17.93,6466.7,,,,,,
17.94,7360,,,,,,
17.95,6746.7,,,,,,
17.96,6973.3,,,,,,
17.97,7026.7,,,,,,
17.98,6840,,,,,,
17.99,6386.7,,,,,,
18,6546.7,,,,,,
18.01,6813.3,,,,,,
18.02,6453.3,,,,,,
18.03,6453.3,,,,,,
18.04,6880,,,,,,
18.05,7026.7,,,,,,
18.06,6746.7,,,,,,
18.07,6386.7,,,,,,
18.08,6560,,,,,,
18.09,6666.7,,,,,,
18.1,7013.3,,,,,,
18.11,6773.3,,,,,,
18.12,6333.3,,,,,,
18.13,6666.7,,,,,,
18.14,7173.3,,,,,,
18.15,6933.3,,,,,,
18.16,6640,,,,,,
18.17,6360,,,,,,
18.18,6586.7,,,,,,
18.19,6933.3,,,,,,
18.2,6266.7,,,,,,
18.21,6186.7,,,,,,
18.22,6800,,,,,,
18.23,6640,,,,,,
18.24,6266.7,,,,,,
18.25,6400,,,,,,
18.26,6693.3,,,,,,
18.27,6613.3,,,,,,
18.28,6720,,,,,,
18.29,7000,,,,,,
18.3,6933.3,,,,,,
18.31,6866.7,,,,,,
18.32,6760,,,,,,
18.33,6626.7,,,,,,
18.34,6720,,,,,,
18.35,6586.7,,,,,,
18.36,6693.3,,,,,,
18.37,6906.7,,,,,,
18.38,6493.3,,,,,,
18.39,6693.3,,,,,,
18.4,6853.3,,,,,,
18.41,6466.7,,,,,,
18.42,6973.3,,,,,,
18.43,7000,,,,,,
18.44,6640,,,,,,
18.45,6986.7,,,,,,
18.46,6893.3,,,,,,
18.47,6813.3,,,,,,
18.48,6626.7,,,,,,
18.49,6693.3,,,,,,
18.5,6773.3,,,,,,
18.51,6933.3,,,,,,
18.52,6826.7,,,,,,
18.53,6720,,,,,,
18.54,6680,,,,,,
18.55,6893.3,,,,,,
18.56,6560,,,,,,
18.57,6573.3,,,,,,
18.58,6813.3,,,,,,
18.59,6466.7,,,,,,
18.6,6480,,,,,,
18.61,6546.7,,,,,,
18.62,6480,,,,,,
18.63,6306.7,,,,,,
18.64,6213.3,,,,,,
18.65,6560,,,,,,
18.66,6800,,,,,,
18.67,6906.7,,,,,,
18.68,6920,,,,,,
18.69,6946.7,,,,,,
18.7,6666.7,,,,,,
18.71,6680,,,,,,
18.72,6706.7,,,,,,
18.73,6506.7,,,,,,
18.74,6546.7,,,,,,
18.75,6680,,,,,,
18.76,6920,,,,,,
18.77,6640,,,,,,
18.78,6586.7,,,,,,
18.79,7000,,,,,,
18.8,6720,,,,,,
18.81,6253.3,,,,,,
18.82,6706.7,,,,,,
18.83,6986.7,,,,,,
18.84,6880,,,,,,
18.85,6706.7,,,,,,
18.86,6813.3,,,,,,
18.87,6733.3,,,,,,
18.88,6613.3,,,,,,
18.89,6826.7,,,,,,
18.9,6666.7,,,,,,
18.91,6493.3,,,,,,
18.92,6426.7,,,,,,
18.93,6906.7,,,,,,
18.94,7026.7,,,,,,
18.95,7053.3,,,,,,
18.96,6760,,,,,,
18.97,6800,,,,,,
18.98,6573.3,,,,,,
18.99,6320,,,,,,
19,6413.3,,,,,,
19.01,6693.3,,,,,,
19.02,6920,,,,,,
19.03,6880,,,,,,
19.04,6853.3,,,,,,
19.05,6973.3,,,,,,
19.06,6706.7,,,,,,
19.07,6840,,,,,,
19.08,6533.3,,,,,,
19.09,6640,,,,,,
19.1,6880,,,,,,
19.11,6906.7,,,,,,
19.12,6586.7,,,,,,
19.13,6346.7,,,,,,
19.14,6640,,,,,,
19.15,6666.7,,,,,,
19.16,6360,,,,,,
19.17,6533.3,,,,,,
19.18,6493.3,,,,,,
19.19,6733.3,,,,,,
19.2,6893.3,,,,,,
19.21,6826.7,,,,,,
19.22,6680,,,,,,
19.23,6560,,,,,,
19.24,6653.3,,,,,,
19.25,6160,,,,,,
19.26,6373.3,,,,,,
